id_escola;Nome;Cluster;Status da Escola;Adimplência Contratual;Adimplência Financeira;Vendas SLM 2025;Direito a voucher;;Habilitação Voucher;Qtd. Vouchers;Código do voucher;Voucher enviado ;Observação
763;Maple Bear Florianópolis Norte;Desenvolvimento;Ativa;Não;ROY;36;Não ;;5%;2;MBSC2026289;SIM;"Ana 19/08: Sobre a inadimplencia financeira, está ok, pois foi feito acordo. Preciso checar sobre o contrato
Ana 15/09:João conversou com a Vanessa e ela informou que podemos sim mandar os vouchers, pois a questão contratual foi resolvida
Ana 15/09: Joao confirmou com a Cyndi e essa escola não tem pendências financeiras"
769;Maple Bear Cabo Frio - Palmeiras;Implantação;Ativa;Sim;Sim;94;Sim;;5%;5;MBRJ2026305;SIM;
77;Maple Bear Aldeia Da Serra - Morada Dos Lagos I;Desenvolvimento;Ativa;Sim;Sim;126;Sim;;5%;6;MBSP2026220;SIM;
775;Maple Bear Petrópolis - Itaipava;Potente;Ativa;Sim;ROY/FDMP;64;Não ;;5%;3;MBRJ2026307;;e-mail enviado dia 04/08
778;Maple Bear Rondonópolis - Parque Sagrada Familia I;Implantação;Ativa;Sim;Sim;84;Sim;;5%;4;MBMT2026297;SIM;
78;Maple Bear Araçatuba - Higienópolis;Desenvolvimento;Ativa;Sim;FDMP;146;Não ;;5%;7;MBSP2026210;;
784;Maple Bear Sete Lagoas;Implantação;Ativa;Sim;Sim;5;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
79;Maple Bear Araraquara - Vila Harmonia I;Desenvolvimento;Ativa;Sim;Sim;187;Sim;;5%;9;MBSP2026203;SIM;
790;Maple Bear Pindamonhangaba;Implantação;Q1 2026;Sim;Sim;5;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
793;Maple Bear Arcoverde;Implantação;Ativa;Sim;Sim;5;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
796;Maple Bear Guarapuava;Implantação;Ativa;Sim;ROY/FDMP;62;Sim;;5%;3;;SIM;e-mail enviado dia 04/08
80;Maple Bear Atibaia - Ressaca I;Alta Performance;Ativa;Sim;Sim;259;Sim;;5%;13;MBSP2026155;SIM;
808;Maple Bear Boa Viagem;Implantação;Ativa;Sim;Sim;53;Sim;;5%;3;MBPE2026285;SIM;
809;Maple Bear Bento Gonçalves;Implantação;Ativa;Sim;Sim;31;Sim;;5%;2;MBRS2026309;SIM;
812;Maple Bear Maceió - Jatiúca;Alta Performance;Ativa;Sim;ROY/FDMP;809;Sim;;5%;40;MBAL2026106;SIM;"Ana 31/07: Cyndi mandou em 30/07 um e-mail para o Alessandro com informações sobre as pendências financeiras da escola. Aguardando retorno para saber sobre um possivel acordo. 
Ana 07/08: Tati me falou no Teams que a Cyndi avisou que fez acordo com essa unidade, portanto, liberei os vouchers nesta data"
